cluster_id,bc_unitType,presenceRatio
0,MUA,1.0
1,NOISE,1.0
2,NON-SOMA,1.0
3,NOISE,1.0
4,NOISE,1.0
5,NOISE,1.0
6,NOISE,1.0
7,NOISE,1.0
8,NON-SOMA,1.0
9,NOISE,1.0
10,MUA,0.1666666666666666
11,NOISE,1.0
12,NON-SOMA,1.0
13,NOISE,1.0
14,NOISE,1.0
15,NOISE,1.0
16,NOISE,1.0
17,NOISE,0.9871794871794872
18,NOISE,1.0
19,MUA,1.0
20,NOISE,0.1794871794871795
21,NOISE,1.0
22,NOISE,1.0
23,NOISE,1.0
24,NON-SOMA,1.0
25,NOISE,1.0
26,NOISE,1.0
27,NOISE,1.0
28,NOISE,1.0
29,NON-SOMA,1.0
30,NON-SOMA,1.0
31,NOISE,1.0
32,NOISE,1.0
33,MUA,1.0
34,NOISE,
35,NON-SOMA,1.0
36,MUA,1.0
37,MUA,0.9871794871794872
38,NOISE,1.0
39,MUA,1.0
40,NOISE,1.0
41,NOISE,1.0
42,NOISE,1.0
43,MUA,1.0
44,GOOD,0.717948717948718
45,NOISE,1.0
46,NOISE,1.0
47,MUA,0.2051282051282051
48,NOISE,1.0
49,NOISE,1.0
50,NOISE,1.0
51,MUA,0.7564102564102564
52,MUA,1.0
53,NOISE,1.0
54,NON-SOMA,1.0
55,MUA,1.0
56,NOISE,1.0
57,MUA,0.9487179487179488
58,NOISE,1.0
59,NON-SOMA,0.9743589743589745
60,MUA,1.0
61,NON-SOMA,0.4615384615384615
62,MUA,0.7692307692307693
63,MUA,0.3333333333333333
64,GOOD,1.0
65,MUA,0.8846153846153846
66,NOISE,1.0
67,MUA,1.0
68,MUA,1.0
69,NOISE,1.0
70,NOISE,0.1538461538461538
71,NOISE,1.0
72,NON-SOMA,1.0
73,MUA,1.0
74,MUA,1.0
75,MUA,1.0
76,MUA,0.4871794871794871
77,MUA,0.1538461538461538
78,GOOD,0.9871794871794872
79,NOISE,1.0
80,GOOD,0.7692307692307693
81,MUA,0.7564102564102564
82,NOISE,1.0
83,NOISE,0.9871794871794872
84,NOISE,1.0
85,NOISE,1.0
86,MUA,1.0
87,MUA,0.1538461538461538
88,MUA,0.3076923076923077
89,MUA,0.2051282051282051
90,NON-SOMA,1.0
91,MUA,1.0
92,MUA,0.5512820512820513
93,MUA,0.3717948717948718
94,MUA,1.0
95,MUA,0.5384615384615384
96,NOISE,1.0
97,MUA,0.6410256410256411
98,MUA,1.0
99,MUA,1.0
100,NON-SOMA,1.0
101,NOISE,1.0
102,MUA,0.3974358974358974
103,MUA,1.0
104,NON-SOMA,1.0
105,MUA,1.0
106,NON-SOMA,0.8461538461538461
107,GOOD,0.9743589743589745
108,MUA,0.5
109,MUA,0.7307692307692307
110,MUA,0.3333333333333333
111,MUA,1.0
112,MUA,1.0
113,MUA,1.0
114,NON-SOMA,0.9615384615384616
115,NOISE,1.0
116,NON-SOMA,0.7564102564102564
117,MUA,1.0
118,NON-SOMA,1.0
119,MUA,0.6282051282051282
120,NON-SOMA,1.0
121,MUA,0.5897435897435898
122,MUA,1.0
123,NON-SOMA,1.0
124,GOOD,0.9102564102564102
125,MUA,1.0
126,MUA,1.0
127,MUA,0.3846153846153846
128,MUA,1.0
129,NON-SOMA,1.0
130,NON-SOMA,1.0
131,NON-SOMA,1.0
132,GOOD,0.8076923076923077
133,MUA,0.5512820512820513
134,MUA,1.0
135,MUA,0.5384615384615384
136,MUA,0.782051282051282
137,MUA,0.8974358974358975
138,GOOD,1.0
139,MUA,1.0
140,MUA,1.0
141,MUA,0.8846153846153846
142,GOOD,0.9487179487179488
143,MUA,1.0
144,MUA,0.9871794871794872
145,GOOD,1.0
146,MUA,1.0
147,MUA,0.2307692307692307
148,MUA,1.0
149,MUA,0.141025641025641
150,MUA,0.4487179487179487
151,MUA,0.2051282051282051
152,MUA,0.935897435897436
153,MUA,1.0
154,MUA,0.4230769230769231
155,MUA,0.8717948717948718
156,MUA,0.9743589743589745
157,MUA,0.9615384615384616
158,NON-SOMA,1.0
159,NOISE,1.0
160,MUA,1.0
161,MUA,0.5384615384615384
162,MUA,1.0
163,MUA,0.2307692307692307
164,MUA,0.3461538461538461
165,GOOD,0.9871794871794872
166,NOISE,1.0
167,GOOD,0.9615384615384616
168,GOOD,0.9871794871794872
169,MUA,0.9615384615384616
170,MUA,1.0
171,MUA,1.0
172,MUA,0.935897435897436
173,NOISE,1.0
174,MUA,0.4358974358974359
175,GOOD,0.7051282051282052
176,GOOD,1.0
177,NON-SOMA,0.7692307692307693
178,MUA,0.6794871794871795
179,MUA,0.4743589743589743
180,NON-SOMA,1.0
181,MUA,1.0
182,MUA,1.0
183,MUA,1.0
184,MUA,1.0
185,MUA,1.0
186,MUA,1.0
187,NON-SOMA,0.8717948717948718
188,MUA,1.0
189,GOOD,1.0
190,NON-SOMA,0.2692307692307692
191,NOISE,1.0
192,GOOD,1.0
193,MUA,0.2564102564102564
194,MUA,0.8974358974358975
195,MUA,0.8717948717948718
196,MUA,0.9743589743589745
197,MUA,0.7564102564102564
198,MUA,0.6282051282051282
199,MUA,1.0
200,MUA,0.5384615384615384
201,NOISE,1.0
202,NON-SOMA,0.9102564102564102
203,MUA,1.0
204,NOISE,1.0
205,GOOD,0.8974358974358975
206,MUA,0.6794871794871795
207,NON-SOMA,1.0
208,GOOD,0.8974358974358975
209,MUA,0.5897435897435898
210,MUA,0.6923076923076923
211,MUA,1.0
212,MUA,1.0
213,GOOD,0.9230769230769232
214,GOOD,0.9102564102564102
215,MUA,0.7948717948717948
216,MUA,0.2051282051282051
217,MUA,0.3461538461538461
218,NOISE,1.0
219,NON-SOMA,0.141025641025641
220,MUA,0.4102564102564102
221,MUA,0.6410256410256411
222,MUA,0.5641025641025641
223,MUA,0.8076923076923077
224,GOOD,0.9487179487179488
225,NOISE,1.0
226,MUA,1.0
227,NOISE,1.0
228,MUA,1.0
229,GOOD,1.0
